"Date","ID","Year","Month","Day","Location","Evaporation","Sunshine","WindGustDir","WindGustSpeed","WindDir9am","WindDir3pm","WindSpeed9am","WindSpeed3pm","Humidity9am","Humidity3pm","Pressure9am","Pressure3pm","Cloud9am","Cloud3pm","Temp9am","Temp3pm","RainToday","RainTomorrow","TempRange","MaxTemp","MinTemp","Rainfall","monthID","Season","accuRain"
2008-07-01,84008,2008,"julio",1,"Brisbane",1.4,9.5,"WNW",26,"SSW","W",6,15,81,37,1019.6,1014.8,0,1,14.9,24.6,"No","No",14.9,25.2,10.3,0,"2008-julio","winter","NoRain"
2008-07-02,84009,2008,"julio",2,"Brisbane",2,9.8,"W",30,"W","WNW",15,19,41,30,1018.8,1015,0,0,16.2,22.4,"No","No",14.8,22.9,8.1,0,"2008-julio","winter","NoRain"
2008-07-03,84010,2008,"julio",3,"Brisbane",5.8,9.4,"E",22,"SW","E",7,15,55,52,1021.4,1019.1,1,4,15.4,21.3,"No","No",12.7,22.4,9.7,0,"2008-julio","winter","Mist"
2008-07-04,84011,2008,"julio",4,"Brisbane",1.8,1.1,"SW",24,"SW","SSE",9,7,76,53,1023.5,1021.7,7,7,14.1,19.6,"No","No",8.2,20,11.8,0.8,"2008-julio","winter","NoRain"
2008-07-05,84012,2008,"julio",5,"Brisbane",2,0.3,"S",37,"S","SSW",11,7,81,89,1027.3,1026.2,7,8,16.1,15,"No","Yes",4.4,16.7,12.3,0,"2008-julio","winter","HeavyRain"
2008-07-06,84013,2008,"julio",6,"Brisbane",5.2,6.4,"ENE",31,"SSW","E",7,17,78,52,1028.5,1025.7,5,2,15.9,20,"Yes","No",8.9,21.5,12.6,16.2,"2008-julio","winter","NoRain"
2008-07-07,84014,2008,"julio",7,"Brisbane",2.4,1.6,"NE",17,"SW","NE",9,9,83,63,1026.9,1023.1,7,7,14.7,20.1,"No","Yes",9,21.9,12.9,0,"2008-julio","winter","HeavyRain"
2008-07-08,84015,2008,"julio",8,"Brisbane",2,0.6,"WSW",31,"SW","NW",7,2,94,73,1024,1019.3,8,6,14.7,17,"Yes","Yes",2.9,17.4,14.5,24.2,"2008-julio","winter","Rain"
2008-07-09,84016,2008,"julio",9,"Brisbane",1,11.7,"W",43,"WSW","W",13,19,48,34,1022.6,1020.2,1,1,12.4,16.2,"Yes","No",10.7,16.7,6,3.8,"2008-julio","winter","Mist"
2008-07-10,84017,2008,"julio",10,"Brisbane",4,10,"W",39,"WSW","WSW",17,17,47,34,1021.8,1017,0,1,13.2,18.8,"No","No",9.4,19.7,10.3,0.2,"2008-julio","winter","NoRain"
2008-07-11,84018,2008,"julio",11,"Brisbane",4,7.9,"W",28,"WSW","WSW",11,9,48,38,1021.7,1019.4,7,7,14.2,18.7,"No","No",13,19.6,6.6,0,"2008-julio","winter","NoRain"
2008-07-12,84019,2008,"julio",12,"Brisbane",2.2,8.1,"ENE",30,"SW","E",7,15,60,48,1025.9,1023.4,1,6,12.8,19.3,"No","No",13.2,21.1,7.9,0,"2008-julio","winter","NoRain"
2008-07-13,84020,2008,"julio",13,"Brisbane",3,2.2,"ENE",20,"SSW","ENE",6,9,72,69,1026.6,1023.3,7,7,15.3,21.2,"No","No",10.8,22.8,12,0,"2008-julio","winter","NoRain"
2008-07-14,84021,2008,"julio",14,"Brisbane",1,4.5,"N",19,"SSW","NE",4,9,86,65,1025.3,1021,7,1,18.3,23.3,"No","No",12.1,25.7,13.6,0,"2008-julio","winter","NoRain"
2008-07-15,84022,2008,"julio",15,"Brisbane",1.2,5.9,"W",31,"SSW","NNE",9,9,80,65,1022.2,1018.7,5,6,19.1,23.4,"No","Yes",8.1,24.8,16.7,0,"2008-julio","winter","Rain"
2008-07-16,84023,2008,"julio",16,"Brisbane",2.6,0,"SW",19,"WSW","WSW",2,4,93,71,1020.1,1017.8,8,8,17.1,18.7,"Yes","Yes",2.4,18.9,16.5,5.4,"2008-julio","winter","Rain"
2008-07-17,84024,2008,"julio",17,"Brisbane",0.8,8.7,"WSW",17,"SW","NE",7,9,80,57,1020.6,1016.1,3,3,15.6,21.2,"Yes","No",9.3,21.5,12.2,2.8,"2008-julio","winter","NoRain"
2008-07-18,84025,2008,"julio",18,"Brisbane",1.2,9.6,"WNW",37,"SW","WNW",6,15,72,34,1017.3,1011.9,2,2,15.2,25,"No","No",16,25.4,9.4,0,"2008-julio","winter","NoRain"
2008-07-19,84026,2008,"julio",19,"Brisbane",3.2,9.8,"W",33,"SW","WNW",2,15,55,25,1018.3,1015.7,0,0,15.4,22.4,"No","No",16.1,22.9,6.8,0,"2008-julio","winter","NoRain"
2008-07-20,84027,2008,"julio",20,"Brisbane",3.4,9,"NNE",30,"SW","NNE",6,15,60,45,1020.6,1015.4,1,1,13.6,21.3,"No","No",15.4,22.9,7.5,0,"2008-julio","winter","NoRain"
2008-07-21,84028,2008,"julio",21,"Brisbane",2.2,3.3,"W",35,"N","W",6,15,83,54,1014.9,1013.8,8,7,17.4,18.7,"No","No",10.3,22.8,12.5,0,"2008-julio","winter","NoRain"
2008-07-22,84029,2008,"julio",22,"Brisbane",3.6,7.5,"W",33,"SW","E",7,15,48,52,1022.1,1021.3,1,8,16.6,18.7,"No","No",8.3,20.4,12.1,0,"2008-julio","winter","Mist"
2008-07-23,84030,2008,"julio",23,"Brisbane",4.4,0,"SSE",26,"SW","S",6,7,73,77,1026.7,1023.1,8,8,12.7,15.2,"No","Yes",3.2,15.7,12.5,0.2,"2008-julio","winter","Rain"
2008-07-24,84031,2008,"julio",24,"Brisbane",0.6,0,"S",28,"SSW","calm",9,0,92,82,1021,1018.8,8,8,12.9,15.2,"Yes","Yes",1.9,14.3,12.4,12.6,"2008-julio","winter","HeavyRain"
2008-07-25,84032,2008,"julio",25,"Brisbane",0.6,1.9,"SW",28,"WSW","SW",9,11,86,67,1014.8,1014.1,8,6,13.8,17.9,"Yes","No",6.4,18.9,12.5,22.4,"2008-julio","winter","Mist"
2008-07-26,84033,2008,"julio",26,"Brisbane",1.4,9.5,"WSW",24,"SW","WNW",9,11,62,42,1018,1014.1,0,1,14.7,19.4,"No","No",11.6,19.9,8.3,0.4,"2008-julio","winter","NoRain"
2008-07-27,84034,2008,"julio",27,"Brisbane",2.8,2.3,"SSW",30,"SW","W",6,4,64,41,1016.7,1011.7,7,7,12.7,17.1,"No","Yes",10.2,18.2,8,0,"2008-julio","winter","Rain"
2008-07-28,84035,2008,"julio",28,"Brisbane",2,5.2,"WSW",39,"WSW","WSW",11,15,75,49,1010.5,1005.9,7,6,11.5,14.3,"Yes","No",7.5,15.7,8.2,2.4,"2008-julio","winter","NoRain"
2008-07-29,84036,2008,"julio",29,"Brisbane",3.2,9.8,"WSW",33,"WSW","SW",11,9,53,36,1012.3,1010,1,3,13.1,19.3,"No","No",11.5,20.3,8.8,0,"2008-julio","winter","NoRain"
2008-07-30,84037,2008,"julio",30,"Brisbane",3.8,9.5,"WNW",22,"WSW","WSW",11,6,55,25,1017.5,1014.2,0,0,13.8,20.3,"No","No",14.3,20.6,6.3,0,"2008-julio","winter","NoRain"
2008-07-31,84038,2008,"julio",31,"Brisbane",2.6,9.9,"WSW",26,"SSE","W",6,11,47,29,1020.5,1016.1,0,0,13.9,20.6,"No","No",17.6,21.3,3.7,0,"2008-julio","winter","NoRain"
2008-08-01,84039,2008,"agosto",1,"Brisbane",3.6,9.8,"W",35,"SW","N",2,7,54,28,1016,1009.6,1,1,15.7,28.6,"No","No",21.6,28.7,7.1,0,"2008-agosto","winter","NoRain"
2008-08-02,84040,2008,"agosto",2,"Brisbane",6,10.3,"W",46,"W","W",19,17,48,26,1017.3,1014.3,1,0,15.1,21.3,"No","No",9.5,21.8,12.3,0,"2008-agosto","winter","NoRain"
2008-08-03,84041,2008,"agosto",3,"Brisbane",5.6,10.1,"WSW",22,"SSW","NE",11,11,47,45,1021.1,1018.1,0,1,14,20.2,"No","No",12.8,21.3,8.5,0,"2008-agosto","winter","NoRain"
2008-08-04,84042,2008,"agosto",4,"Brisbane",3.2,9.8,"NE",26,"SW","NE",7,11,75,53,1021.7,1017.2,1,1,14,20.9,"No","No",13.8,22.1,8.3,0,"2008-agosto","winter","NoRain"
2008-08-05,84043,2008,"agosto",5,"Brisbane",3.2,8,"E",22,"WSW","ENE",7,11,62,33,1019.2,1016,1,2,15.4,20.8,"No","No",13.9,22.4,8.5,0,"2008-agosto","winter","Mist"
2008-08-06,84044,2008,"agosto",6,"Brisbane",2.2,10.2,"W",39,"SW","W",7,15,56,29,1018.6,1016,1,1,16.1,21.2,"No","No",12.5,21.7,9.2,0.2,"2008-agosto","winter","NoRain"
2008-08-07,84045,2008,"agosto",7,"Brisbane",5,10.3,"W",30,"SW","W",9,19,49,29,1021.6,1017.4,0,0,15.5,20.5,"No","No",14.2,21.2,7,0,"2008-agosto","winter","NoRain"
2008-08-08,84046,2008,"agosto",8,"Brisbane",5,10.3,"W",48,"W","W",11,19,36,26,1021.5,1018.1,0,0,13.8,20.4,"No","No",13.7,20.9,7.2,0,"2008-agosto","winter","NoRain"
2008-08-09,84047,2008,"agosto",9,"Brisbane",5,10.3,"SW",19,"SW","ENE",7,13,47,32,1023.4,1019.4,1,0,14.3,19.8,"No","No",14,21.5,7.5,0,"2008-agosto","winter","NoRain"
2008-08-10,84048,2008,"agosto",10,"Brisbane",3.4,10.2,"W",31,"S","W",6,17,47,21,1021.4,1016,0,0,13.2,21.1,"No","No",16.6,21.6,5,0,"2008-agosto","winter","NoRain"
2008-08-11,84049,2008,"agosto",11,"Brisbane",3.2,10.4,"W",37,"WSW","WSW",11,13,34,16,1020.2,1016.2,0,0,13.7,18,"No","No",14.2,18.7,4.5,0,"2008-agosto","winter","NoRain"
